ORDER_ID,PROFILE_ID,SUBMITTED_DATE,TAXONOMY_0,Hour
125035106,1083388,9/22/2017 18:27,Home & Kitchen,18
127390262,175132262,1/10/2018 22:49,Home & Kitchen,22
127657852,140652649,8/12/2017 16:04,Health & Beauty,16
14622243,1174955,10/4/2017 20:52,0,20
198058097,204275661,10/29/2017 7:34,Home & Kitchen,7
208196010,1158741,2/5/2018 8:21,Other,8
212560986,1103492,10/31/2017 11:59,Other,11
216705329,418519995,10/29/2017 11:21,Other,11
227191418,1186593,9/19/2017 9:27,Home & Kitchen,9
231345154,385302211,1/5/2018 8:29,Electronics,8
241461412,412847544,8/10/2017 8:49,Home & Kitchen,8
241629900,1123566,8/4/2017 7:54,Home & Kitchen,7
242719463,158535338,8/10/2017 16:25,0,16
242936170,459173559,8/18/2017 13:57,Health & Beauty,13
243797254,158535338,8/16/2017 15:08,Home & Kitchen,15
243889706,460544904,8/17/2017 0:58,Home & Kitchen,0
245402579,462530942,8/24/2017 4:10,Home & Kitchen,4
245728231,462963370,8/25/2017 14:42,Other,14
246205490,440394091,8/27/2017 22:21,Electronics,22
246368361,462953216,8/28/2017 15:59,0,15
246655635,1062107,10/17/2017 18:00,Home & Kitchen,18
246980997,158535338,8/31/2017 17:03,Home & Kitchen,17
247629263,465540903,9/3/2017 10:54,Other,10
249298080,158535338,9/11/2017 15:23,Electronics,15
250095271,163430452,9/22/2017 14:48,Home & Kitchen,14
250754638,1186628,12/16/2017 18:44,Home & Kitchen,18
250807902,470243784,9/19/2017 13:52,Fashion,13
250822846,1120583,12/26/2017 11:54,Home & Kitchen,11
251536513,255637684,9/23/2017 22:07,Electronics,22
252298910,158535338,9/28/2017 10:26,Health & Beauty,10
256605005,244371439,10/16/2017 13:30,0,13
257648782,474798680,11/27/2017 12:16,Other,12
258352500,1100130,10/27/2017 23:45,Home & Kitchen,23
260117876,482532296,11/4/2017 21:44,0,21
260720624,158535338,11/2/2017 14:41,Home & Kitchen,14
262002155,158535338,11/8/2017 9:23,0,9
263158315,158535338,11/13/2017 8:38,Home & Kitchen,8
263158348,158535338,11/13/2017 8:39,Home & Kitchen,8
265154786,158535338,11/21/2017 14:07,Home & Kitchen,14
266645244,158535338,11/27/2017 16:52,Home & Kitchen,16
267141613,491387663,11/29/2017 13:51,Other,13
268102136,492605704,12/2/2017 19:48,Phones & Tabs,19
272166808,158535338,12/18/2017 11:49,0,11
273009288,158535338,12/21/2017 16:11,Home & Kitchen,16
273429386,499344794,12/23/2017 14:36,Electronics,14
274349940,158535338,12/28/2017 6:21,Home & Kitchen,6
275962674,158535338,1/4/2018 8:11,Home & Kitchen,8
278965562,145447685,1/17/2018 9:04,Electronics,9
281103225,509047419,1/27/2018 13:09,0,13
281321528,480189207,1/28/2018 14:42,Home & Kitchen,14
284201035,512984918,2/9/2018 17:11,Home & Kitchen,17
285170869,302142056,2/14/2018 9:12,Electronics,9
77374912,1077102,10/7/2017 10:04,Home & Kitchen,10
106713349,135902868,8/3/2017 16:55,Other,16
136730182,204311562,9/7/2017 13:05,Home & Kitchen,13
193997638,78646130,1/29/2018 14:35,Home & Kitchen,14
223333429,127398970,8/10/2017 11:19,Home & Kitchen,11
232856542,60594889,9/12/2017 16:14,Other,16
234730774,1082041,8/1/2017 22:55,Home & Kitchen,22
239947044,194724362,8/2/2017 10:05,Electronics,10
241051807,158535338,8/2/2017 13:23,Home & Kitchen,13
241051824,158535338,8/2/2017 13:28,Home & Kitchen,13
241698760,457515856,2/21/2018 11:32,Baby & Kids,11
241870362,457085549,8/5/2017 15:50,Electronics,15
242314572,158535338,8/8/2017 12:33,0,12
242367819,342285323,8/8/2017 14:41,Other,14
242988750,459247650,8/11/2017 22:27,Electronics,22
243934228,158535338,8/17/2017 10:05,Home & Kitchen,10
244528460,461394057,8/20/2017 1:13,Other,1
245274541,158535338,8/23/2017 16:18,0,16
245664695,43371038,10/29/2017 9:08,Other,9
246773131,158535338,8/30/2017 11:09,0,11
247416557,158535338,9/2/2017 14:37,Home & Kitchen,14
247490732,465412298,9/2/2017 17:08,Health & Beauty,17
248260272,303621956,9/6/2017 13:11,Other,13
248284349,158535338,9/6/2017 17:05,Home & Kitchen,17
248310537,466291590,9/6/2017 18:25,Other,18
248494174,466823236,9/7/2017 14:58,Electronics,14
248913404,467428178,9/9/2017 14:59,Other,14
249224395,457085549,9/11/2017 10:54,Home & Kitchen,10
249717932,468586735,9/13/2017 16:15,Other,16
249875742,462689481,9/14/2017 16:22,0,16
250534303,469807119,9/18/2017 0:11,Phones & Tabs,0
251299429,471026567,9/22/2017 12:15,Home & Kitchen,12
251972396,158535338,9/26/2017 15:16,Home & Kitchen,15
256105188,1050359,11/2/2017 16:33,Other,16
256941006,478513134,10/17/2017 17:49,Phones & Tabs,17
257099762,478590114,11/16/2017 23:20,Other,23
258269764,480196001,10/22/2017 16:48,Electronics,16
259211813,481414563,10/26/2017 14:40,Home & Kitchen,14
259438947,1080774,10/30/2017 10:44,Electronics,10
261493575,169738258,11/6/2017 1:53,Baby & Kids,1
261571042,484294894,11/6/2017 10:46,Home & Kitchen,10
262002287,158535338,11/8/2017 9:50,Home & Kitchen,9
263983765,487300794,11/16/2017 15:53,Other,15
266221895,1061125,11/25/2017 23:16,0,23
267453412,1115655,11/30/2017 12:16,Other,12
274004553,500068431,12/26/2017 12:39,Other,12
275246123,501557828,12/31/2017 15:24,Electronics,15
276071251,502639284,1/4/2018 16:59,Home & Kitchen,16
278542598,505844693,1/15/2018 10:34,Home & Kitchen,10
280694132,410860243,1/25/2018 14:38,Other,14
283896846,158535338,2/8/2018 10:51,Home & Kitchen,10
287245289,158535338,2/21/2018 9:01,0,9
137203802,171855533,11/8/2017 22:12,Home & Kitchen,22
212582459,416056768,12/23/2017 12:11,Electronics,12
224420708,1090360,10/10/2017 17:25,0,17
234473603,1158871,8/25/2017 18:40,Electronics,18
235645688,346601814,12/4/2017 14:22,Electronics,14
241618834,457085549,8/4/2017 13:17,Home & Kitchen,13
241671615,122038606,9/22/2017 15:17,Fashion,15
242276358,32375178,8/8/2017 0:43,Other,0
243797238,158535338,8/16/2017 15:04,0,15
244637982,69606327,8/20/2017 13:56,Other,13
245728006,454477324,8/25/2017 15:46,Electronics,15
245769279,462953216,8/25/2017 18:25,0,18
246117921,463501940,8/27/2017 12:11,Electronics,12
246162407,463501333,8/27/2017 16:43,0,16
247674261,462689481,9/3/2017 16:04,0,16
249875845,462689481,9/14/2017 16:31,0,16
249954802,468937948,9/14/2017 21:18,Health & Beauty,21
251029011,457085549,9/20/2017 18:25,Phones & Tabs,18
251239791,470942330,9/21/2017 23:41,Home & Kitchen,23
252156223,1056031,9/28/2017 17:21,Electronics,17
253501664,474064742,10/3/2017 18:26,Home & Kitchen,18
256127005,477490380,10/14/2017 17:14,Home & Kitchen,17
256470672,1144188,10/18/2017 11:50,Home & Kitchen,11
256659411,478184601,10/16/2017 17:04,Fashion,17
256806585,158535338,10/17/2017 8:57,Home & Kitchen,8
257004537,450328214,1/29/2018 12:26,Home & Kitchen,12
257108989,465091688,10/18/2017 10:38,Other,10
257702157,158535338,10/20/2017 12:35,Home & Kitchen,12
258525219,144212651,10/23/2017 17:21,Electronics,17
262479500,158535338,11/10/2017 13:54,Home & Kitchen,13
263919776,404084987,11/16/2017 11:59,Other,11
264184142,158535338,11/17/2017 11:17,Health & Beauty,11
265204324,488849682,11/21/2017 13:17,Electronics,13
265822503,318742655,11/24/2017 9:51,Electronics,9
267466553,491842381,11/30/2017 13:59,Home & Kitchen,13
268350709,492937247,12/3/2017 18:00,Home & Kitchen,18
270552781,495631015,12/11/2017 18:39,0,18
274518626,500691905,12/28/2017 14:41,0,14
275244452,501595310,12/31/2017 15:19,Home & Kitchen,15
276767008,160929495,1/7/2018 22:09,Home & Kitchen,22
279943393,158535338,1/22/2018 15:53,Home & Kitchen,15
280219720,165230033,2/4/2018 13:09,Health & Beauty,13
284114233,512848675,2/9/2018 7:02,Health & Beauty,7
284858685,1075215,2/12/2018 12:28,Home & Kitchen,12
286964164,516295194,2/20/2018 10:16,Health & Beauty,10
101455606,1064739,10/11/2017 15:38,Electronics,15
111363440,104252104,2/22/2018 16:20,Health & Beauty,16
129886721,130706406,8/10/2017 12:39,Home & Kitchen,12
130115947,182852898,8/14/2017 8:16,Home & Kitchen,8
158567189,1134842,1/3/2018 10:55,0,10
186570971,338971787,10/18/2017 17:57,Electronics,17
190577826,351084087,11/2/2017 11:27,Other,11
201459675,1068088,10/14/2017 14:16,Fashion,14
214592001,418904339,12/14/2017 18:32,Home & Kitchen,18
222911806,410546528,10/20/2017 23:43,Phones & Tabs,23
229952692,329111834,12/18/2017 16:00,Home & Kitchen,16
236728927,10775485,12/12/2017 12:27,0,12
237720896,1104256,9/3/2017 19:48,Other,19
241656583,1052352,8/4/2017 17:23,Baby & Kids,17
242454723,385779641,8/12/2017 14:21,Phones & Tabs,14
242885797,158535338,8/11/2017 16:47,Health & Beauty,16
243982035,460627731,8/17/2017 13:00,Home & Kitchen,13
245035516,158535338,8/22/2017 13:03,0,13
245107616,158535338,8/22/2017 16:41,Baby & Kids,16
245108614,440907698,8/22/2017 17:38,Home & Kitchen,17
245274017,158535338,8/23/2017 12:32,0,12
246549480,158535338,8/29/2017 13:55,Home & Kitchen,13
246785573,464369823,8/30/2017 14:56,Other,14
246785573,464369823,8/30/2017 14:56,Other,14
246823328,464448489,8/30/2017 15:29,Sports & Fitness,15
247629662,465612543,9/3/2017 11:43,Other,11
247629662,465612543,9/3/2017 11:43,Other,11
247674254,462689481,9/3/2017 16:03,0,16
247877696,459879487,9/7/2017 11:38,Electronics,11
248126447,466291571,9/5/2017 18:49,Electronics,18
248502066,466789317,9/7/2017 21:22,Home & Kitchen,21
248648699,467029468,9/8/2017 9:14,Electronics,9
249037481,467610645,9/10/2017 7:51,0,7
250305318,328193792,9/18/2017 14:24,Home & Kitchen,14
250545423,452166021,9/20/2017 8:32,0,8
251350238,471131813,9/22/2017 17:15,Electronics,17
252839872,73040717,9/30/2017 17:53,0,17
253301595,141415943,1/20/2018 15:16,Electronics,15
254737615,473726244,10/9/2017 12:31,Fashion,12
255523623,392228842,10/21/2017 14:44,Other,14
255523623,392228842,10/21/2017 14:44,Other,14
257257447,1116369,10/19/2017 13:49,Other,13
257991556,479847946,10/21/2017 15:00,Home & Kitchen,15
257991556,479847946,10/21/2017 15:00,Home & Kitchen,15
258294740,480201365,10/22/2017 18:58,Electronics,18
258504569,163430452,10/25/2017 11:57,Other,11
259046259,481120537,10/25/2017 17:09,Electronics,17
259185380,436355098,10/26/2017 12:05,Other,12
259196859,1092812,10/31/2017 19:39,Electronics,19
259215111,1158542,12/3/2017 9:02,Electronics,9
259396054,481626130,10/27/2017 14:09,Home & Kitchen,14
261872828,316468253,12/2/2017 11:38,Home & Kitchen,11
262227581,485165955,11/9/2017 12:07,Electronics,12
263466192,486359154,11/14/2017 12:24,0,12
263482697,158535338,11/14/2017 17:27,0,17
263636836,158535338,11/15/2017 11:27,Home & Kitchen,11
263709666,158535338,11/15/2017 17:16,Home & Kitchen,17
264905474,409842873,11/20/2017 11:55,Home & Kitchen,11
265486568,268928225,11/22/2017 16:35,Fashion,16
265486568,268928225,11/22/2017 16:35,Fashion,16
266096263,490029272,11/25/2017 11:26,Home & Kitchen,11
266905666,491082575,11/28/2017 17:51,Home & Kitchen,17
268273089,481362735,12/3/2017 11:48,0,11
268343633,492910135,12/3/2017 17:32,Electronics,17
268970067,158535338,12/5/2017 17:12,Home & Kitchen,17
269775208,494630870,12/11/2017 12:13,Electronics,12
270441593,495497917,12/11/2017 11:13,Home & Kitchen,11
271019063,1165913,1/11/2018 16:26,0,16
273120871,158535338,12/22/2017 11:25,0,11
273663680,1050053,12/28/2017 12:47,Phones & Tabs,12
274429348,499845248,12/28/2017 5:44,Electronics,5
274961866,301238708,12/30/2017 10:48,Electronics,10
275204580,501546793,12/31/2017 11:56,Home & Kitchen,11
276439194,503106231,1/6/2018 12:56,Electronics,12
277864765,1050053,1/12/2018 11:02,Sports & Fitness,11
278656945,475731999,1/15/2018 22:20,Other,22
279684983,30832401,1/20/2018 17:01,Home & Kitchen,17
280138603,176168096,1/22/2018 23:27,Electronics,23
281620875,509733377,1/30/2018 0:25,0,0
282126957,494681448,2/2/2018 17:08,0,17
288780365,518121453,2/26/2018 14:55,Home & Kitchen,14
288993060,513987687,2/27/2018 8:43,0,8
172057123,1091862,12/5/2017 23:31,0,23
193117364,1083144,12/6/2017 11:13,Electronics,11
204663356,270601417,8/21/2017 14:39,0,14
232388837,1165115,11/1/2017 12:36,0,12
240294147,1077545,8/20/2017 20:27,Other,20
240916141,456451733,8/1/2017 12:21,Phones & Tabs,12
245037585,1110473,8/22/2017 10:15,Other,10
245199812,158535338,8/23/2017 11:13,Other,11
245769168,462953216,8/25/2017 18:17,0,18
247595939,462689481,9/3/2017 15:34,0,15
248276821,1077893,9/6/2017 15:12,Home & Kitchen,15
248282733,1116448,1/3/2018 15:51,Other,15
249224411,457085549,9/11/2017 10:55,Home & Kitchen,10
249430511,468202555,9/12/2017 7:22,Electronics,7
249545351,1122066,9/12/2017 18:38,0,18
249934184,342496241,1/28/2018 14:25,Other,14
251451916,158535338,9/23/2017 17:14,Home & Kitchen,17
252583188,291058317,10/4/2017 11:37,Phones & Tabs,11
254122130,474877429,10/6/2017 15:19,Home & Kitchen,15
254345829,1051906,12/20/2017 18:01,Other,18
25522817,32256766,2/3/2018 14:00,Phones & Tabs,14
255456820,158535338,10/12/2017 10:58,Home & Kitchen,10
255804310,477123881,10/13/2017 13:18,Home & Kitchen,13
256841300,1116369,10/17/2017 10:02,Home & Kitchen,10
257434416,479172781,10/19/2017 14:02,Other,14
258462947,480388630,10/23/2017 12:32,Electronics,12
258513121,158535338,10/23/2017 16:51,Home & Kitchen,16
259018014,462060418,10/25/2017 13:51,Home & Kitchen,13
259018014,462060418,10/25/2017 13:51,Home & Kitchen,13
262087747,431976045,12/29/2017 16:37,0,16
263236179,1062371,11/24/2017 15:10,Home & Kitchen,15
263237683,158535338,11/13/2017 17:37,0,17
263482269,158535338,11/14/2017 15:34,Home & Kitchen,15
265891512,487435709,11/24/2017 14:13,Home & Kitchen,14
266790214,490923551,11/28/2017 9:35,Other,9
266790214,490923551,11/28/2017 9:35,Other,9
266790214,490923551,11/28/2017 9:35,Other,9
266878087,483018008,11/28/2017 16:11,Home & Kitchen,16
267409719,491756363,11/30/2017 9:27,Electronics,9
267426586,158535338,11/30/2017 14:58,0,14
267743965,492175220,12/1/2017 14:40,Home & Kitchen,14
268309975,492903172,12/3/2017 14:52,Electronics,14
268544130,158535338,12/4/2017 10:45,Home & Kitchen,10
269884922,494862934,12/9/2017 1:19,Other,1
271570787,496692999,12/15/2017 16:23,0,16
271729035,154115792,12/16/2017 10:25,Home & Kitchen,10
271984748,1118936,12/23/2017 12:55,Home & Kitchen,12
272801654,1064110,12/22/2017 10:49,Electronics,10
273009255,158535338,12/21/2017 16:09,Home & Kitchen,16
273656042,499381106,12/24/2017 16:47,Home & Kitchen,16
274225097,158535338,12/27/2017 13:47,Home & Kitchen,13
274244181,500375100,12/27/2017 13:30,Home & Kitchen,13
274834188,494681448,12/30/2017 11:44,Electronics,11
274963745,501229476,12/30/2017 10:28,Home & Kitchen,10
275224632,484924174,12/31/2017 13:51,Electronics,13
277920094,505061466,1/12/2018 14:56,Electronics,14
279001506,163430452,1/17/2018 13:19,Electronics,13
279684068,507312831,1/20/2018 16:05,Electronics,16
281891038,510018227,1/31/2018 3:12,Home & Kitchen,3
288168158,158535338,2/24/2018 10:57,Home & Kitchen,10
13897981,1069279,11/24/2017 13:45,Home & Kitchen,13
159303891,181193605,12/17/2017 14:44,0,14
223821489,432217765,2/18/2018 18:56,Electronics,18
241051640,158535338,8/2/2017 12:09,Home & Kitchen,12
241618524,158535338,8/4/2017 11:01,Home & Kitchen,11
242452179,1118436,8/9/2017 23:10,Other,23
